dataset,id1,id2,label,vmScore,nmScore
education,infobox book||1832130||71384825-0||genre,infobox book||59842||67483185-0||genre,false,0.17422051425241009,0.0
education,infobox book||10697284||123176981-0||genre,infobox book||71479||47583457-0||genre,false,0.15195654869402453,0.23214206647809166
education,infobox school||11145292||283644191-0||accreditation,infobox school||11346477||283835285-0||accreditation,false,0.1864825321518151,0.0
education,infobox book||35825142||527303227-0||media_type,infobox book||37693329||523954126-0||media_type,false,0.16565927220095653,0.0
education,infobox book||1292785||42082104-0||genre,infobox book||68857||47519287-0||genre,true,0.15195654869402453,0.0
education,infobox book||2613883||63902304-0||media_type,infobox book||2630729||62769431-0||media_type,false,0.07097800792342554,0.0
education,infobox school||11294153||225538506-0||accreditation,infobox secondary school||2896119||100216743-0||accreditation,false,0.15139372431410883,0.03508880783770626
education,infobox book||10416018||119647190-0||genre,infobox book||4082||55457780-0||genre,false,0.15195654869402453,0.23360206423552204
education,infobox school||11294153||225538506-0||accreditation,infobox school||11346147||283845627-0||accreditation,false,0.15139372431410883,0.0
education,infobox school||34264690||469283288-0||enrollment_as_of,infobox school||34397833||471680728-0||enrollment_as_of,false,0.14676409402267915,0.0
education,infobox book||35825142||527303227-0||media_type,infobox book||38563327||589413708-0||media_type,false,0.16565927220095653,0.0
education,infobox school||11346354||283860160-0||accreditation,infobox school||11492427||285298676-0||accreditation,false,0.15139372431410883,0.0
education,infobox book||1491166||52557564-0||genre,infobox book||23713951||91908771-0||genre,false,0.17621651006233094,0.0
education,infobox school||11160819||283818078-0||accreditation,infobox school||11345956||283856419-0||accreditation,false,0.15139372431410883,0.0
education,infobox school||11108510||280860126-0||accreditation,infobox school||1685136||282775839-0||accreditation,false,0.17959642001313286,0.0
education,infobox book||10697578||123179668-0||genre_🔗_extractedLink0,infobox book||10697619||123180162-0||genre_🔗_extractedLink0,true,0.16342444856010951,0.3733482251014211
education,infobox book||18695907||229495492-0||language,infobox book||3071038||91405402-0||language,false,0.1381649007705521,0.0
education,infobox school||11278700||276030465-0||accreditation,infobox school||11358182||283573513-0||accreditation,false,0.1864825321518151,0.03508880783770626
education,infobox school||4067130||285289863-0||accreditation,infobox_university||11059130||159456276-0||accreditation,false,0.15139372431410883,0.0
education,infobox school||11108510||280860126-0||accreditation,infobox secondary school||9797286||177652455-0||accreditation,false,0.17959642001313286,0.0
education,infobox school||17727956||232238330-0||type,infobox secondary school||12508710||225292851-0||type,false,0.15587041154369186,0.0
education,infobox book||11993928||173429847-0||caption,infobox book||12861011||153316506-0||caption,false,0.18165138450001111,0.38500577346905096
education,infobox school||11120943||286561615-0||accreditation,infobox secondary school||11512058||177645590-0||accreditation,false,0.17959642001313286,0.03508880783770626
education,infobox book||2683082||87392184-0||genre,infobox book||4583530||61657902-0||genre,false,0.17955455892958355,0.0
education,infobox school||11345683||283976667-0||accreditation,infobox secondary school||11279359||193540398-0||accreditation,false,0.15139372431410883,0.0
education,infobox school||27310667||361364025-0||enrollment_as_of,infobox secondary school||19529744||241882320-0||enrollment_as_of,false,0.2234083371094996,0.10526642351311877
education,infobox book||591370||243189042-0||caption,infobox book||7051390||93675741-0||caption,false,0.18165138450001111,0.0
education,infobox school||11520015||286559606-0||accreditation,infobox secondary school||2148439||176771847-0||accreditation,false,0.17959642001313286,0.0
education,infobox book||10697284||123176981-0||genre,infobox book||68863||47583658-0||genre,true,0.15195654869402453,0.16342444856010951
education,infobox school||4067130||285289863-0||enrollment_as_of,infobox secondary school||11293810||193500099-0||enrollment_as_of,false,0.1525360822441889,0.060656189524399516
education,infobox school||10116511||280850657-0||accreditation,infobox secondary school||11512058||177645590-0||accreditation,false,0.17959642001313286,0.03508880783770626
education,infobox school||11158569||283774868-0||accreditation,infobox school||12269793||145146231-0||accreditation,false,0.15139372431410883,0.0
