dataset,isInStrictBlockingDecay,isInStrictBlockingNoDecay,isInValueSetBlocking,isInSequenceBlocking,isInExactMatchBlocking,isSemanticRoleMatch,compatibilityPercentageDecay,compatibilityPercentageNoDecay,exactSequenceMatchPercentage
tv_and_film,false,false,false,false,false,false,0.6839080459770115,0.6781609195402298,0.6786226685796269
tv_and_film,false,false,false,false,false,false,0.5574712643678161,0.2442528735632184,0.20229555236728838
tv_and_film,true,false,false,false,false,true,1.0,0.9985632183908046,0.8780487804878049
tv_and_film,false,false,false,false,false,false,0.6867816091954023,0.6867816091954023,0.6441893830703013
tv_and_film,true,true,true,true,true,false,1.0,1.0,1.0
tv_and_film,false,false,true,true,false,false,0.9971264367816092,0.9971264367816092,0.5007173601147776
tv_and_film,true,false,false,false,false,false,1.0,0.7873563218390804,0.4806312769010043
tv_and_film,true,true,false,false,false,false,1.0,1.0,0.9296987087517934
tv_and_film,true,false,false,false,false,false,1.0,0.8620689655172413,0.599713055954089
tv_and_film,true,true,true,true,false,false,1.0,1.0,0.9598278335724534
tv_and_film,false,false,false,false,false,false,0.9137931034482759,0.8520114942528736,0.7977044476327116
tv_and_film,false,false,false,false,false,false,0.8836206896551724,0.6997126436781609,0.4648493543758967
tv_and_film,false,false,false,false,false,false,0.9281609195402298,0.382183908045977,0.381635581061693
tv_and_film,false,false,false,false,false,false,0.7327586206896551,0.7140804597701149,0.5968436154949784
tv_and_film,true,true,true,true,true,false,1.0,1.0,1.0
tv_and_film,false,false,false,false,false,false,0.5014367816091954,0.46551724137931033,0.29555236728837875
tv_and_film,false,false,false,false,false,false,0.9956896551724138,0.9956896551724138,0.9928263988522238
tv_and_film,false,false,false,false,false,false,0.6479885057471264,0.6479885057471264,0.5667144906743186
tv_and_film,true,true,true,true,false,false,1.0,1.0,0.994261119081779
tv_and_film,false,false,false,false,false,false,0.9209770114942529,0.9209770114942529,0.6757532281205165
tv_and_film,true,false,false,false,false,false,1.0,0.9454022988505747,0.5982783357245337
tv_and_film,false,false,false,false,false,false,0.6307471264367817,0.5632183908045977,0.5251076040172167
tv_and_film,true,true,false,false,false,false,1.0,1.0,0.8091822094691535
tv_and_film,false,false,false,false,false,false,0.9267241379310345,0.9267241379310345,0.7460545193687231
tv_and_film,false,false,false,false,false,false,0.7600574712643678,0.6954022988505747,0.4878048780487805
tv_and_film,true,true,true,true,true,true,1.0,1.0,1.0
tv_and_film,true,true,true,true,false,true,1.0,1.0,0.9182209469153515
tv_and_film,false,false,false,false,false,false,0.5833333333333334,0.375,0.3199426111908178
tv_and_film,true,false,false,false,false,false,1.0,0.9813218390804598,0.860832137733142
tv_and_film,false,false,false,false,false,false,0.3275862068965517,0.2859195402298851,0.25538020086083213
